address,amount
0xdbf72370021babafbceb05ab10f99ad275c6220a,208644.140014034661478230
0xb51d93791e19d8cf1fdf1851aa97e7695a9135c0,191939.345866983392805435
0xa4fc358455febe425536fd1878be67ffdbdec59a,28104.099999999799735200
0xd06777d9b02f677214073cc3c5338904cba7894a,22523.713777657100532843
0xb63745a457c8555d4b5f0b800d605aae949981f2,21000.000000000000000000
0x2ab2ae426077f0a1f78de5c76753b458a97f0423,19396.000000000000000000
0xd7cfbcadaaf6475321cfcf3884f15a93400be658,10923.466388499976033363
0xb3fb1ecfca5dd2df7b1ea1aab754e71c7481bd9e,8044.000000000000000000
0xd65dee10ad86d7970b0d7d0051708d0cde638317,7008.728121659295989135
0x1b87fde6af5396165fdadf7f532784622a824abf,5895.651856531186722701
0x0b795953f7b693b123cc3bd31887b6b7ea0fd61c,4550.005258878048052300
0x5592248bc03df37fb570c3a89d76c9787ceca4d1,4511.414591261873442975
0xf3704de41d39688514775fd65722d346c06042ad,4201.367437743553980698
0x98027dda9009ce6929f708ae00b5269967f16593,3900.000000000199095200
0x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,3678.000000000000000000
0xb56f4281e213ba2a2856dc7004934508140a58a0,3550.000000000000000000
0x6a78f926fc753955b75de9101789d22592b9edef,3200.137003823209775193
0x7240ac91f01233baaf8b064248e80feaa5912ba3,3078.928272485037091566
0xc7f03c079b33cf372b549f22e73c03e2b035a4cd,2981.222124283151047585
0x3f89127822e2d12ad3064aac52d87a1f0075a719,2664.888215708612189137
0x0a4e9f69f5b2e1e661da9ed98956f928200ea4ba,2605.074999999998754100
0xe29f5ad2a33c76ccaca2d2e3226ff80085ce4573,2225.848558674506589535
0x8549361cd2c83e53fca7249fd734eb4b8821f610,2100.000000003544954818
0x9b9db057331a2d70745755d0e458a46c38b948c5,2004.281797017888753068
0xa98c59fe146e351511fc890598787208d063c8a3,1854.232013371973881156
0xa70c19438b7df621113b268ff5029fdd68c78917,1847.719696686016950787
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,1846.244798188872880880
0x558072aff399c7fcaa2fbe1ff861958bef98b815,1790.098869885657157784
0xa58b9747668c3d0d099ffa316943428a46b5ce9e,1776.795127627686510911
0x75e8ea98b37c1f9c75557bc45b5ebb8100a565e3,1758.923360124228987066
0x90eaf9830209b53336415a08c8f1cf195a8729d9,1730.446366610306585943
0x0f28b39a420b9331ba7044d891f2ffafe7dbcd19,1672.546463725578000000
0x4a7858c47c2a86376e513662de7a69e8905a66e2,1659.007726737883592291
0x9cac24428b1526596cff3a2bd2c1b662fa2dda93,1617.217302598287526861
0x60f820b876eb2c710abdab67a0ae15fde35fbefb,1577.856253259500058329
0xee29c16f3ae7721832d2446e42762358aabf2a4c,1563.000000000000000000
0xe75021660e00a7fa0df1b97da13ebabe6d82e7ea,1544.187547248193535441
0x1df1b5f3da9bd36d6869ff8e547ea7ca3783b35e,1504.700000000000000000
0x0e90d960b7940676e4e2c70323f1cbdaf2047500,1495.596368732959357524
0xcae501bd49301ea6eb67aefb09a6df40f915bfdc,1471.300000000000000000
0x8506d946cc63d1f1f3a303d68b0da64597cd64f3,1346.972475568332893178
0xc34274b5f8646104f6b9800d1c17448f38e77215,1296.732763815299329344
0xdbbb82f339e4d48071353615b6a91ba2f7635b4d,1280.911285048494542501
0xcce8d59affdd93be338fc77fa0a298c2cb65da59,1257.925997800164041244
0x9e81eb69d79b839a4ffd9c4c44d112a71ed7505b,1250.000000000000000000
0xe6e7d58006822e9c44838378a22f358e5d1bfb7c,1243.000000000000000000
0xb2713540bb2cddfb42d860a7f090c03cd754bbf8,1238.000000000000000000
0x0ef71f2c503eaf4b0794389cb25633419a336f67,1207.191673392000000000
0x710327096973f22906f7eb4aa266de81520007a2,1201.224594634592774097
0x0d0707963952f2fba59dd06f2b425ace40b492fe,1179.624696725665653553
0xe0b18affb1bd9b681f51ce841f1ee1ebe55cd172,1163.439307484748067998
0x80a2386fe6591ee49a3941b808876364c787be46,1162.741778874984649641
0x287986db0e9752ebbcab948a62bf050ce6505628,1054.103618700000000000
0xeadaeac070717b84fbddc916683fbc03b1af89dd,1031.590314995700115053
0x3e32aeb16207444df128557cfbc0e1f7915bb63c,1012.150666064921311777
0x62fba308eb54658863863463078634956b5bf9ef,1011.809545236019946923
0x73f29805198cce93015bc960f47885cf6268ce85,1004.045289600000000000
0xfaf70673f175c35cfd9ba79afd8d0f0f54128273,1001.937352988288801318
0xa42830ee059c77caf8c8200b44aa9813cb0720c5,1000.530671305905013278
0xb18e5f56404f87a623d3e9139913a3c3f1f3fde7,1000.224100205883941108
0x86ecbf411cae23b24530f563c5f6c29a458f1752,1000.023256712628286114
0xd562e321afcf63ecbb43dd4f65b1bd37019abe41,999.478868445579695317
0x4006056652872538e0401eef3377e2fdf8828415,989.706487300000000000
0xe2c4610fd0dcf65e88879caf4b4b01f148d1fa45,988.572665798723744045
0xffb7bd15e36c207a88d8082d5cb4ca8aa20cd738,972.159869747850000000
0xf51dc6ecf32ac10d05873cfae8ca26e658c570a7,970.944827091020802543
0xbbde4a63f0e922ae4508f551df1883b175407adf,965.765765657700000000
0xccc6882e839fe2c7c4a6a5087be2b3050c1918ec,933.000000000000000000
0x28c30e5fbdb64c42d4fa1abc19c42cd5f9c385fb,926.000000000000000000
0xe72e3ffc3d9eae8cd12863399b803a08fdf2dd87,925.639767640000000000
0xddd5ee1e42b3ac002f9cc07ec3a1a039cb4bb0de,900.087993074832781634
0x82c42d62776c0087619ee5d9c0b4fc953196ef22,888.000000000000000000
0xb8779ed2d6cceb01bf7b000105671a6cd609a39e,876.000000000000000000
0x1d109f7d4cce8ce4eb62f23c982b9b5e3b0fa604,875.789120433575869875
0x29bf6652e795c360f7605be0fcd8b8e4f29a52d4,860.119686707026051242
0xbb18b345203033b82a57bcd51e56eb78e84e2460,841.959005014022326209
0x6683ac33ae701de11a1320346e45b4132dad6901,804.600000000000000000
0x46a74fe54e48ed599c0cbc18de0fc7418127969d,800.196868206457415598
0x9487de82860feb4e83418112d52ed9c8b35e7bda,800.045559942407575858
0xa683c1b815997a7fa38f6178c84675fc4c79ac2b,786.017336352637491866
0x92fc58d5b963f59e0e8bd4ed4ef22ebadcebe49a,786.000000000000000000
0xa246643c02ad64e635abf8e72cfedcd7ca24ce3c,779.480895989576189815
0x161a0423b830031b940c6d5a758ba918a2ae23e0,754.000000000000000000
0x0c91f59d53bfe1c6c4ee678c4417823fd3392ab5,754.000000000000000000
0xd4e27f5ebe1921e7617bee997b34b0736ce96cee,753.797175414623175513
0xd60fd207841d48e45188dec938c922a06d70207c,752.000000000000000000
0x82d8c9877e438301bb9f6acfacaa0792e44504de,750.000000000000000000
0x331a5db137249fc67ebd8ea528ced7071ba7227d,746.397980350304603878
0x81b47c0803e94768bdb05b9b00b18d609579dccb,745.774122080450590056
0x7d5873bddaef73a416f5c6e2b9bf5d9bf1e8b76a,739.775065949779815987
0xd9a8dfa8d3639ba247c50b0513eddc3e8feb08eb,709.921565789394564600
0xed2f1a00190d1b67c62e3591df39271455512412,704.004297626401562682
0x5fbaf9c8cc0a631929fdaf3f31a00ef0267c75f8,703.622973999110000000
0x1bec08e9f91301d4446c3a70895379bb8a39844d,700.688238644424694355
0xfd4709835045d332dce8a1530fa5c80f68c51f0d,700.517749150051248216
0xdead911aeffb8f36d429279e51be1f1e25628594,690.251049760917016614
0xc1782c08593372b59661860a82b5efa76820224c,687.000000000000000000
0x0a69a94703f3399b43331e920dbb4a36c5e236fa,679.106135888984343464
0x2f24a7acd70e866c34e0b09418053339a859c34f,646.635400000000000000
0x1afae5057b3482a76d3832a32dfd2a902e6925ab,623.203806998376948501
0xc48997a7d153200f8622787740d03e8c1dbfcd4a,610.000000000000000000
0x7a8978802e52f24621dd0807b7f0803d9c7a4ae0,604.074331655980396717
0x5af7bceda28794b31913b40df516496c59f7cfc3,600.000000000000000000
0xa5785c960fd78272fe9eae103788f0357fc90526,596.144341836822922415
0x7ea935c26834e5fdfc5328ab3fb17ec03952b80c,595.329052616713522178
0x917e1ca8c661b648edd68ede4c991b7e57b9dce5,590.071963139732700221
0x444e01dcb3a1ec1b1aa1344505ed7c8690d53281,585.759212214709298091
0xb3768df45b23224db4a1c9844225928b66f1cb5f,572.000000000000000000
0x68398c5e0acfee30892308dc8a058a06d63add30,562.000000000000000000
0x187c437c25101c3fb4fb90a9030a78ba6e7876cf,558.949042927648536434
0xff3aab96028f0e8a7de25779799fcac6c7e13a00,550.000654520661690186
0x44bdb19db1cd29d546597af7dc0549e7f6f9e480,549.729219146785229525
0xc3573bf120b72ae2d638a612fb44b34bbcdbe63c,539.999999999997720000
0xf8ffc5d02da24eb145ad34aea9b483e4a259177e,533.653043128480706485
0xba12fd150b97e25426c4952952465bd2d9547cd7,525.774348793955280284
0xef0085a4a1e3ae1cfc4af6c180afeac024818c68,507.179184865626022872
0x4165fa8368c95b50a7ece227dca2f7490689f0b7,503.760103691830992721
0x4e420afa7c700904b3d4711db7ddd5b94fc45567,503.200502065797068004
0xcbf40d8b9e8498a42e045a7834310507118f4892,500.487336251450290086
0xb64485c3d3f162ccbf0c4c0ff10dac1eba3b6da7,500.000000000000000000
0x46925b6ee609b58116aa0bc63443210b7774faf4,500.000000000000000000
0x14557984898cb18755666a174498db676900ff68,493.000000000000000000
0x86ab846eab1db8ed6f410cbc7c5497de0b7b4536,490.716068626822374027
0xa11151f8f36b91841cb2884eea52d10883f0003c,490.492263597930875562
0xf45fe5fd65f9524363104a5382e311fe8361af44,482.000000000000000000
0xa2f1831257f141432f94fe834e0d1e30c2fc17c0,480.033204110418408363
0x8948c2fdf6c8901f614557856b1b94e0c3d3e36b,463.320199154168685883
0xae9eb9082047770c9cfb189640deb64f736e0804,462.586717105410350989
0xbe0dfe808de20e8b6225c8fda3db460182ff9fe7,462.097778105107034011
0xca6f7bca983efec130245d18ca62a72588000d89,453.373897706653310761
0xa78e8e20d80f13d74ad41dd9bb058078cade34cf,451.397051241947150945
0xaad06a4385f4797c69633bd2d16e0bd31dd7232e,450.286763009747564317
0xf807e7528b041faffdbaf78a07a51a85e38f2c23,448.430941461732904634
0xadf094b2b6d2c6f4d8e60f714be005a378b26d36,448.090374442062102089
0x13a374352ba15bdf62693722f09e285fdb2b4cee,441.474625000000000000
0xd6252885122ebe2a61cd8a5795f7bb1bf302c781,432.518794807895778491
0x191458d229eafe1e246e4c28d346fcb10acb12a3,425.720256301475892282
0x1075df73e8532bfb64164e94924c6898ebcf7635,422.820372002889586836
